Title,Authors,Year,Citations,Journal,Link,Topic
The anterograde and retrograde retrieval ability of a patient with amnesia due to encephalitis,"['LS Cermak', ""M O'Connor""]",1983,371,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/0028393283900398,AMNESIA
Autobiographical memory across the preschool years: Toward reconceptualizing childhood amnesia,"['R Fivush', 'NR Hamond']",1990,354,,http://psycnet.apa.org/psycinfo/1991-97187-008,AMNESIA
The effects of ACTH- and vasopressin-analogues on CO2-induced retrograde amnesia in rats,"['H Rigter', 'H Van Riezen', 'D De Wied']",1974,257,Physiology & Behavior,http://www.sciencedirect.com/science/article/pii/0031938474900924,AMNESIA
Retrograde amnesia: temporal gradient in very long term memory following electroconvulsive therapy,"['LR Squire', 'PC Slater', 'PM Chace']",1975,297,Science,http://science.sciencemag.org/content/187/4171/77.abstract,AMNESIA
Transient global amnesia,"['CM Fisher', 'RD Adams']",1964,462,Acta neurologica Scandinavica,https://www.ncbi.nlm.nih.gov/pubmed/14198929,AMNESIA
Amnesia with hippocampal lesions cardiopulmonary arrest,"['JL Cummings', 'U Tomiyasu', 'S Read', 'DF Benson']",1984,294,Neurology,http://www.neurology.org/content/34/5/679.short,AMNESIA
"Present pasts: Media, politics, amnesia",['A Huyssen'],2000,648,Public Culture,https://muse.jhu.edu/article/26184/summary,AMNESIA
Amnesia induced in mice by centrally administered -amyloid peptides involves cholinergic dysfunction,"['T Maurice', 'BP Lockhart', 'A Privat']",1996,485,Brain research,http://www.sciencedirect.com/science/article/pii/0006899395010327,AMNESIA
Temporally graded retrograde amnesia of contextual fear after hippocampal damage in rats: within-subjects examination,"['SG Anagnostaras', 'S Maren']",1999,602,Journal of,http://www.jneurosci.org/content/19/3/1106.short,AMNESIA
Memory for remote events in anterograde amnesia: Recognition of public figures from newsphotographs,"['WD Marslen-Wilson', 'HL Teuber']",1975,301,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/0028393275900135,AMNESIA
Cognitive impairment following frontal lobe damage and its relevance to human amnesia,"['JS Janowsky', 'AP Shimamura', 'M Kritchevsky']",1989,586,Behavioral,http://psycnet.apa.org/psycinfo/1989-40026-001,AMNESIA
Retrieval without recollection: An experimental analysis of source amnesia,"['DL Schacter', 'JL Harbluk', 'DR McLachlan']",1984,612,Journal of Verbal Learning and,http://www.sciencedirect.com/science/article/pii/S0022537184903736,AMNESIA
Retrosplenial amnesia,"['E VALENSTEIN', 'D BOWERS', 'M VERFAELLIE']",1987,507,Brain,https://academic.oup.com/brain/article-abstract/110/6/1631/451579,AMNESIA
Probabilistic classification learning in amnesia,"['BJ Knowlton', 'LR Squire', 'MA Gluck']",1994,594,Learning & Memory,http://learnmem.cshlp.org/content/1/2/106.short,AMNESIA
AMNESIA: analysis and monitoring for NEutralizing SQL-injection attacks,"['WGJ Halfond', 'A Orso']",2005,609,Proceedings of the 20th IEEE/ACM international,http://dl.acm.org/citation.cfm?id=1101935,AMNESIA
Temporal gradients in the retrograde amnesia of patients with alcoholic Korsakoff's disease,"['MS Albert', 'N Butters', 'J Levin']",1979,473,Archives of Neurology,http://archneur.jamanetwork.com/article.aspx?articleid=577383,AMNESIA
Amnesia and recognition memory: A re-analysis of psychometric data,"['JP Aggleton', 'C Shaw']",1996,348,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/0028393295001506,AMNESIA
Strategic retrieval and the frontal lobes: Evidence from confabulation and amnesia,"['M Moscovitch', 'B Melo']",1997,404,Neuropsychologia,http://www.sciencedirect.com/science/article/pii/S0028393297000286,AMNESIA
Priming across modalities and priming across category levels: extending the domain of preserved function in amnesia,"['P Graf', 'AP Shimamura', 'LR Squire']",1985,520,Journal of Experimental,http://psycnet.apa.org/journals/xlm/11/2/386/,AMNESIA
