Title,Authors,Year,Citations,Journal,Link,Topic
The effect of enemyrelease and climate conditions on invasive birds: a regional test using the roseringed parakeet (Psittacula krameri) as a case study,"['A Shwartz', 'D Strubbe', 'CJ Butler']",2009,46,Diversity and,http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2008.00538.x/full,PARAKEET
"Flowers, fruits, and the abundance of the yellow-chevroned parakeet (Brotogeris chiriri) at a gallery forest in the South Pantanal (Brazil)",['J Ragusa-Netto'],2004,43,Brazilian Journal of Biology,http://www.scielo.br/scielo.php?pid=S1519-69842004000500017&script=sci_arttext&tlng=pt,PARAKEET
Population biology of the introduced Rose-ringed Parakeet Psittacula krameri in the UK,['CJ Butler'],2003,53,,https://www.researchgate.net/profile/Chris_Butler3/publication/35702506_Population_Biology_of_the_Introduced_Rose-Ringed_Parakeet_Psittacula_krameri_in_the_UK/links/54d2b1960cf2b0c6146bac9a.pdf,PARAKEET
Antiphonal dueting and evidence for auditory reaction time in the Orange-chinned Parakeet,['DM Power'],1966,41,The Auk,http://www.jstor.org/stable/4083033,PARAKEET
"The monk parakeet in the United States, 197075","['WJ Neidermyer', 'JJ Hickey']",1977,48,American Birds,,PARAKEET
Noise-induced threshold shift in the parakeet (Melopsittacus undulatus),"['J Saunders', 'R Dooling']",1974,37,Proceedings of the National,http://www.pnas.org/content/71/5/1962.short,PARAKEET
Vocalizations of the monk parakeet,"['MB Martella', 'EH Bucher']",1990,37,Bird Behavior,http://www.ingentaconnect.com/content/cog/bb/1990/00000008/00000002/art00007,PARAKEET
Genetic evidence links invasive monk parakeet populations in the United States to the international pet trade,"['MA Russello', 'ML Avery']",2008,40,BMC,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-8-217,PARAKEET
Tracking viral evolution during a disease outbreak: the rapid and complete selective sweep of a circovirus in the endangered Echo parakeet,"['S Kundu', 'CG Faulkes', 'AG Greenwood']",2012,41,Journal of,http://jvi.asm.org/content/86/9/5221.short,PARAKEET
"Moults and feather generations in the Least, Crested and Parakeet auklets","['J Bdard', 'SG Sealy']",1984,39,Journal of Zoology,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-7998.1984.tb05047.x/full,PARAKEET
"Temperature regulation and water requirements of the monk parakeet, Myiopsitta monachus","['WW Weathers', 'DF Caccamise']",1975,37,Oecologia,http://www.springerlink.com/index/g0474u5523527513.pdf,PARAKEET
Impact of rat species in Ouvea and Lifou (Loyalty Islands) and their consequences for conserving the endangered Ouvea Parakeet,"['O Robinet', 'JL Craig', 'L Chardonnet']",1998,36,Biological Conservation,http://www.sciencedirect.com/science/article/pii/S000632079700181X,PARAKEET
Genetic evidence for high propagule pressure and longdistance dispersal in monk parakeet (Myiopsitta monachus) invasive populations,"['D SILVA', 'A GONALVES', 'JR EBERHARD']",2010,41,Molecular,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2010.04749.x/full,PARAKEET
The Monk Parakeet: A potential threat to agriculture,['LR Davis'],1974,28,Proceedings of the 6th Vertebrate Pest,http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1006&context=vpc6,PARAKEET
Psittacula eupatria,['A Parakeet'],1766,11,Cambodia,,PARAKEET
Pollination of Moronobea coccinea (Clusiaceae) by the goldenwinged parakeet in the Central Amazon,"['A Vicentini', 'EA Fischer']",1999,31,Biotropica,http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.1999.tb00419.x/full,PARAKEET
Foraging ecology of the red-crowned parakeet (Cyanoramphus novaezelandiae novaezelandiae) and yellow-crowned parakeet (C. auriceps auriceps) on Little,['TC Greene'],1998,34,New Zealand Journal of Ecology,http://www.jstor.org/stable/24054688,PARAKEET
Diazacon inhibits reproduction in invasive monk parakeet populations,"['ML Avery', 'CA Yoder', 'EA Tillman']",2008,30,Journal of Wildlife Management,http://www.bioone.org/doi/abs/10.2193/2007-391,PARAKEET
