Title,Authors,Year,Citations,Journal,Link,Topic
"Carbon dioxide effects on fruit respiration. II. Response of avocados, bananas, & lemons","['RE Young', 'RJ Romani', 'JB Biale']",1962,144,Plant physiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549804/,BANANAS
Alternative trade in bananas: Obstacles and opportunities for progressive social change in the global economy,"['DL Murray', 'LT Raynolds']",2000,143,Agriculture and Human values,http://www.springerlink.com/index/N04J7878764308L3.pdf,BANANAS
Effect of fruit maturity on efficiency of 1-methylcyclopropene to delay the ripening of bananas,"['DR Harris', 'JA Seberry', 'RBH Wills', 'LJ Spohr']",2000,137,Postharvest Biology and,http://www.sciencedirect.com/science/article/pii/S0925521400001502,BANANAS
Classification of the Bananas: The Genus Musa L,['EE Cheesman'],1947,141,Kew Bulletin,http://www.jstor.org/stable/4109207,BANANAS
Bananas in space: Extending fold and unfold to exponential types,"['E Meijer', 'G Hutton']",1995,151,Proceedings of the seventh international conference,http://dl.acm.org/citation.cfm?id=224225,BANANAS
Ionic liquid based dispersive liquidliquid microextraction for the extraction of pesticides from bananas,"['LM Ravelo-Prez', 'J Hernndez-Borges']",2009,148,of Chromatography A,http://www.sciencedirect.com/science/article/pii/S0021967309011960,BANANAS
Theoretical and experimental analysis of the drying kinetics of bananas,"['MR Queiroz', 'SA Nebra']",2001,129,Journal of food Engineering,http://www.sciencedirect.com/science/article/pii/S0260877400001084,BANANAS
Maternal inheritance of chloroplast genome and paternal inheritance of mitochondrial genome in bananas (Musa acuminata),"['S Faur', 'JL Noyer', 'F Carreel', 'JP Horry', 'F Bakry']",1994,111,Current Genetics,http://link.springer.com/article/10.1007/BF00357172,BANANAS
A review of factors influencing the genetic stability of micropropagated bananas,['MK Smith'],1988,113,Fruits (France),http://agris.fao.org/agris-search/search.do?recordID=FR9006548,BANANAS
Production of volatiles by ripening bananas,"['C Macku', 'WG Jennings']",1987,90,Journal of Agricultural and Food,http://pubs.acs.org/doi/pdf/10.1021/jf00077a049,BANANAS
Pest control in Bananas,['SD Feakin'],1971,133,Pest control in Bananas.,https://www.cabdirect.org/cabdirect/abstract/19721100503,BANANAS
Numerical taxonomy of the wild bananas (Musa),"['NW Simmonds', 'STC Weatherup']",1990,100,New Phytologist,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.1990.tb00485.x/full,BANANAS
From bananas to buttocks: The Latina body in popular film and culture,['M Mendible'],2010,74,,https://books.google.com/books?hl=en&lr=&id=KEmXDrBNL6QC&oi=fnd&pg=PP10&dq=BANANAS&ots=VvRR5zx6iR&sig=OO0-t823jzG1D7I8Kt0xYvlGUW8,BANANAS
The wild bananas of Papua New Guinea,['GCG Argent'],1976,149,Notes Roy. Bot. Gard. Edinburgh,http://kbd.kew.org/kbd/detailedresult.do?id=175888,BANANAS
Let9s go bananas: revisiting the endocytic BAR code,"['B Qualmann', 'D Koch', 'MM Kessels']",2011,158,The EMBO journal,http://emboj.embopress.org/content/30/17/3501.full-text.pdf+html,BANANAS
Experimental investigation of the performance of the solar tunnel dryer for drying bananas,"['P Schirmer', 'S Janjai', 'A Esper', 'R Smitabhindu']",1996,133,Renewable Energy,http://www.sciencedirect.com/science/article/pii/0960148195001387,BANANAS
Development of embryogenic cell suspensions from shoot meristematic tissue in bananas and plantains (Musa spp.),"['H Strosse', 'H Schoofs', 'B Panis', 'E Andre', 'K Reyniers']",2006,131,Plant Science,http://www.sciencedirect.com/science/article/pii/S0168945205002955,BANANAS
"Numerical Taxonomic Studies of the East African Highland Bananas, Musa AAA-East Africa, in Uganda",['DA Karamura'],1999,142,,http://www.sidalc.net/cgi-bin/wxis.exe/?IsisScript=INIBA.xis&method=post&formato=2&cantidad=1&expresion=mfn=005123,BANANAS
Variability in responses of partially ripe bananas to 1-methylcyclopropene,"['C Pelayo', 'EV de B Vilas-Boas', 'M Benichou']",2003,111,Postharvest Biology and,http://www.sciencedirect.com/science/article/pii/S0925521402001242,BANANAS
