Title,Authors,Year,Citations,Journal,Link,Topic
A memristor device model,"['C Yakopcic', 'TM Taha', 'G Subramanyam']",2011,135,IEEE electron device,http://ieeexplore.ieee.org/abstract/document/6012511/,MEMRISTOR
Dynamical properties and design analysis for nonvolatile memristor memories,"['Y Ho', 'GM Huang', 'P Li']",2011,193,Transactions on Circuits and Systems I,http://ieeexplore.ieee.org/abstract/document/5604689/,MEMRISTOR
Design implications of memristor-based RRAM cross-point structures,"['C Xu', 'X Dong', 'NP Jouppi', 'Y Xie']",2011,169,Design,http://ieeexplore.ieee.org/abstract/document/5763125/,MEMRISTOR
Memristor emulator for memristor circuit applications,"['H Kim', 'MP Sah', 'C Yang', 'S Cho']",2012,165,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/6183495/,MEMRISTOR
Advances in neuromorphic memristor science and applications,"['R Kozma', 'RE Pino', 'GE Pazienza']",2012,75,,https://books.google.com/books?hl=en&lr=&id=ATdIfAol_k4C&oi=fnd&pg=PR5&dq=MEMRISTOR&ots=Gxy8ta_sY7&sig=j6BdvTCdHE1Dpb1LwknMhyzm2i8,MEMRISTOR
Memristor bridge synapses,"['H Kim', 'MP Sah', 'C Yang', 'T Roska']",2012,154,Proceedings of the,http://ieeexplore.ieee.org/abstract/document/6074916/,MEMRISTOR
Synaptic learning and memory functions achieved using oxygen ion migration/diffusion in an amorphous InGaZnO memristor,"['ZQ Wang', 'HY Xu', 'XH Li', 'H Yu', 'YC Liu']",2012,179,Advanced Functional,http://onlinelibrary.wiley.com/doi/10.1002/adfm.201103148/full,MEMRISTOR
Initial state dependent dynamical behaviors in a memristor based chaotic circuit,"['B Bo-Cheng', 'X Jian-Ping', 'L Zhong']",2010,91,Chinese Physics Letters,http://iopscience.iop.org/article/10.1088/0256-307X/27/7/070504/meta,MEMRISTOR
Integration of nanoscale memristor synapses in neuromorphic computing architectures,"['G Indiveri', 'B Linares-Barranco', 'R Legenstein']",2013,195,,http://iopscience.iop.org/article/10.1088/0957-4484/24/38/384010/meta,MEMRISTOR
Three fingerprints of memristor,"['SP Adhikari', 'MP Sah', 'H Kim']",2013,168,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/6549211/,MEMRISTOR
"The fourth element: characteristics, modelling and electromagnetic theory of the memristor","['O Kavehei', 'A Iqbal', 'YS Kim']",2010,166,of the Royal,http://rspa.royalsocietypublishing.org/content/early/2010/03/12/rspa.2009.0553.short,MEMRISTOR
"A Memristor-Based Hyperchaotic System with Hidden Attractors: Dynamics, Synchronization and Circuital Emulating","['VT Pham', 'CK Volos', 'S Vaidyanathan', 'TP Le']",2015,130,Journal of Engineering,http://www.jestr.org/downloads/Volume8Issue2/fulltext82262015.pdf,MEMRISTOR
Global Mittag-Leffler stability and synchronization of memristor-based fractional-order neural networks,"['J Chen', 'Z Zeng', 'P Jiang']",2014,171,Neural Networks,http://www.sciencedirect.com/science/article/pii/S089360801300292X,MEMRISTOR
Fractional-order memristor-based Chua's circuit,['I Petras'],2010,127,IEEE Transactions on Circuits and Systems II: Express,http://ieeexplore.ieee.org/abstract/document/5624576/,MEMRISTOR
Forming-free colossal resistive switching effect in rare-earth-oxide  films for memristor applications,"['X Cao', 'X Li', 'X Gao', 'W Yu', 'X Liu', 'Y Zhang']",2009,106,Journal of Applied,http://aip.scitation.org/doi/abs/10.1063/1.3236573,MEMRISTOR
Memristor-based memory: The sneak paths problem and solutions,"['MA Zidan', 'HAH Fahmy', 'MM Hussain']",2013,143,Microelectronics Journal,http://www.sciencedirect.com/science/article/pii/S0026269212002108,MEMRISTOR
Memristor bridge synapse-based neural network and its learning,"['SP Adhikari', 'C Yang', 'H Kim']",2012,138,IEEE Transactions on,http://ieeexplore.ieee.org/abstract/document/6232461/,MEMRISTOR
Comprehensive physical model of dynamic resistive switching in an oxide memristor,"['S Kim', 'SH Choi', 'W Lu']",2014,141,ACS nano,http://pubs.acs.org/doi/abs/10.1021/nn405827t,MEMRISTOR
