Title,Authors,Year,Citations,Journal,Link,Topic
Small molecule inhibitors reveal Niemann-Pick C1 is essential for Ebola virus infection,"['M Ct', 'J Misasi', 'T Ren', 'A Bruchez', 'K Lee', 'CM Filone']",2011,372,Nature,https://www.nature.com/nature/journal/v477/n7364/abs/nature10380.html,EBOLA VIRUS
Transmission of Ebola virus (Zaire strain) to uninfected control monkeys in a biocontainment laboratory,"['N Jaax', 'P Jahrling', 'T Geisbert', 'J Geisbert', 'K Steele']",1995,200,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673695928413,EBOLA VIRUS
Recovery of infectious Ebola virus from complementary DNA: RNA editing of the GP gene and viral cytotoxicity,"['VE Volchkov', 'VA Volchkova', 'E Mhlberger']",2001,296,,http://science.sciencemag.org/content/291/5510/1965.short,EBOLA VIRUS
Experimental inoculation of plants and animals with Ebola virus,"['R Swanepoel', 'PA Leman', 'FJ Burt']",1996,310,Emerging infectious,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2639914/,EBOLA VIRUS
Postexposure protection of non-human primates against a lethal Ebola virus challenge with RNA interference: a proof-of-concept study,"['TW Geisbert', 'ACH Lee', 'M Robbins', 'JB Geisbert']",2010,423,The Lancet,http://www.sciencedirect.com/science/article/pii/S0140673610603571,EBOLA VIRUS
Ebola virus: the role of macrophages and dendritic cells in the pathogenesis of Ebola hemorrhagic fever,"['M Bray', 'TW Geisbert']",2005,265,The international journal of biochemistry & cell,http://www.sciencedirect.com/science/article/pii/S1357272505000725,EBOLA VIRUS
A case of Ebola virus infection,"['RT Emond', 'B Evans', 'ET Bowen', 'G Lloyd']",1977,366,Br Med J,http://www.bmj.com/content/2/6086/541.short,EBOLA VIRUS
Lethal experimental infections of rhesus monkeys by aerosolized Ebola virus,"['E Johnson', 'N Jaax', 'J White']",1995,295,International journal of,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1997182/,EBOLA VIRUS
Processing of the Ebola virus glycoprotein by the proprotein convertase furin,"['VE Volchkov', 'H Feldmann']",1998,415,Proceedings of the,http://www.pnas.org/content/95/10/5762.short,EBOLA VIRUS
A PPxY motif within the VP40 protein of Ebola virus interacts physically and functionally with a ubiquitin ligase: implications for filovirus budding,"['RN Harty', 'ME Brown', 'G Wang']",2000,413,Proceedings of the,http://www.pnas.org/content/97/25/13871.short,EBOLA VIRUS
Treatment of Ebola virus infection with a recombinant inhibitor of factor VIIa/tissue factor: a study in rhesus monkeys,"['TW Geisbert', 'LE Hensley', 'PB Jahrling', 'T Larsen']",2003,366,The Lancet,http://www.sciencedirect.com/science/article/pii/S014067360315012X,EBOLA VIRUS
Estimating the reproduction number of Ebola virus (EBOV) during the 2014 outbreak in West Africa,['CL Althaus'],2014,246,PLoS currents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169395/,EBOLA VIRUS
Ebola virus: from discovery to vaccine,"['H Feldmann', 'S Jones', 'HD Klenk']",2003,255,Nature reviews,https://www.researchgate.net/profile/Hans_Schnittler/publication/10568175_Ebola_virus_From_discovery_to_vaccine/links/09e41509947ce5c855000000/Ebola-virus-From-discovery-to-vaccine.pdf,EBOLA VIRUS
The Ebola virus VP35 protein inhibits activation of interferon regulatory factor 3,"['CF Basler', 'A Mikulasova', 'L Martinez-Sobrido']",2003,444,Journal of,http://jvi.asm.org/content/77/14/7945.short,EBOLA VIRUS
Characterization of Ebola virus entry by using pseudotyped viruses: identification of receptor-deficient cell lines,"['RJ Wool-Lewis', 'P Bates']",1998,370,Journal of virology,http://jvi.asm.org/content/72/4/3155.short,EBOLA VIRUS
Ebola virus VP24 binds karyopherin 1 and blocks STAT1 nuclear accumulation,"['LW Leung', 'AL Hartman', 'O Martinez', 'ML Shaw']",2006,364,Journal of,http://jvi.asm.org/content/80/11/5156.short,EBOLA VIRUS
"Crystal structure of the Ebola virus membrane fusion subunit, GP2, from the envelope glycoprotein ectodomain","['W Weissenhorn', 'A Carf', 'KH Lee', 'JJ Skehel', 'DC Wiley']",1998,415,Molecular cell,http://www.sciencedirect.com/science/article/pii/S1097276500801598,EBOLA VIRUS
Outbreak of Ebola virus disease in Guinea: where ecology meets economy,"['DG Bausch', 'L Schwarz']",2014,220,PLoS neglected tropical diseases,http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003056&utm_source=web&utm_medium=pdf&utm_campaign=ppu15,EBOLA VIRUS
Successful treatment of advanced Ebola virus infection with T-705 (favipiravir) in a small animal model,"['L Oestereich', 'A Ldtke', 'S Wurr', 'T Rieger']",2014,277,Antiviral research,http://www.sciencedirect.com/science/article/pii/S0166354214000576,EBOLA VIRUS
Discovery of an ebolavirus-like filovirus in europe,"['A Negredo', 'G Palacios', 'S Vzquez-Morn']",2011,239,PLoS,http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1002304,EBOLA VIRUS
Role of endosomal cathepsins in entry mediated by the Ebola virus glycoprotein,"['K Schornberg', 'S Matsuyama', 'K Kabsch']",2006,334,Journal of,http://jvi.asm.org/content/80/8/4174.short,EBOLA VIRUS
The 2014 Ebola virus disease outbreak in West Africa,['D Gatherer'],2014,217,Journal of General Virology,http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.067199-0,EBOLA VIRUS
Ebola virus VP35 protein binds double-stranded RNA and inhibits alpha/beta interferon production induced by RIG-I signaling,"['WB Crdenas', 'YM Loo', 'M Gale', 'AL Hartman']",2006,362,Journal of,http://jvi.asm.org/content/80/11/5168.short,EBOLA VIRUS
Comparison of the transcription and replication strategies of Marburg virus and Ebola virus by using artificial replication systems,"['E Mhlberger', 'M Weik', 'VE Volchkov', 'HD Klenk']",1999,377,Journal of,http://jvi.asm.org/content/73/3/2333.short,EBOLA VIRUS
